Input Size,Bubble Sort,Selection Sort,Insertion Sort,Merge Sort,Quick Sort
100,0.0003839999999399879,0.0002007000002777204,0.0002282000000377593,0.00019509999992806115,8.949999983087764e-05
500,0.01164089999974749,0.005191699999613775,0.007290799999736919,0.0013181999997868843,0.0006060000000616128
1000,0.04441069999984393,0.022147499999846332,0.02365700000018478,0.0023396999999931722,0.0016685000000506989
2000,0.1933377999998811,0.08418590000019321,0.09760919999962425,0.005400000000008731,0.002766399999927671
3000,0.5938935000003767,0.2138732999997046,0.28717950000009296,0.00963720000027024,0.005072900000413938
5000,1.2636050000000978,0.5265941999996357,0.5724783000000571,0.013966999999865948,0.007849799999803508
